Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.791441,0.00019999995,0.13391767,6.336066553809426,6.336066572782172,163.47272727272727
2000,1.7863574,0.00019999995,0.3583993,6.788943623082113,6.78894365516645,162.71186440677965
3000,1.7820966,0.00019999995,0.557108,6.7465618821290825,6.746561869620872,151.1846153846154
4000,1.7835228,0.00019999995,0.7602671,7.926957158547528,7.926957103857792,172.45283018867926
5000,1.7776293,0.00019999995,0.94341403,9.046390530914723,9.04639055795826,182.26315789473685
6000,1.7688121,0.00019999995,1.1584269,13.26136806454414,13.261368095259117,237.48717948717947
7000,1.7574098,0.00019999995,1.4083267,21.850813668349694,21.85081369021346,345.62068965517244
8000,1.7438972,0.00019999995,1.7029936,31.094745885580778,31.094745861989395,457.0
9000,1.7327527,0.00019999995,2.022641,53.459411054849625,53.45941127350712,734.0833333333334
10000,1.7208502,0.00019999995,2.3089888,None,None,None
11000,1.7056472,0.00019999992,2.5668347,None,None,None
12000,1.7002853,0.0001999999,2.7833173,None,None,None
13000,1.6918806,0.0001999999,3.0124097,303.45866891145704,303.4586691497686,3828.0
14000,1.6589341,0.0001999999,3.232267,None,None,None
15000,1.6356596,0.0001999999,3.4623518,None,None,None
16000,1.629213,0.0001999999,3.6978843,None,None,None
17000,1.5995781,0.0001999999,3.8676388,273.0130780835946,273.0130780052382,3294.0833333333335
18000,1.5567281,0.0001999999,4.161004,None,None,None
19000,1.5339662,0.0001999999,4.390217,None,None,None
20000,1.5502648,0.0001999999,4.625738,None,None,None
21000,1.5186334,0.0001999999,4.7933474,341.08774771690366,341.08774712449855,3922.9
22000,1.5211116,0.0001999999,5.0383306,None,None,None
23000,1.4595635,0.0001999999,5.229466,None,None,None
24000,1.447463,0.0001999999,5.4316726,None,None,None
25000,1.4063755,0.0001999999,5.562878,316.89043257453227,316.8904326566796,3586.6363636363635
26000,1.4144883,0.0001999999,5.8355327,None,None,None
27000,1.394945,0.0001999999,6.0398664,None,None,None
28000,1.3797442,0.0001999999,6.2474976,None,None,None
29000,1.3608055,0.00019999988,6.4027214,349.3819291472435,349.38192908313084,3930.6
30000,1.3374059,0.00019999986,6.6376634,None,None,None
31000,1.3232865,0.00019999986,6.8314915,None,None,None
