Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.7900974,0.00019999995,-0.03439513,194.7105014247171,194.71050225872202,93.38202247191012
2000,1.7662432,0.00019999995,1.1565098,257.10304909557493,257.10305085210194,111.49350649350649
3000,1.7563593,0.00019999995,2.4755032,214.12169707888438,214.12169623055786,93.32098765432099
4000,1.727694,0.00019999995,6.105224,229.71517641696988,229.71517571882066,92.70731707317073
5000,1.7772294,0.00019999995,2.3165462,5504.750373997758,5504.750371712733,171.25882352941176
6000,1.7223656,0.00019999995,-3.416121,214.56093576072175,214.56093644461035,94.19753086419753
7000,1.6889017,0.00019999995,-6.3277082,242.64642886460666,242.64643083717488,106.49295774647888
8000,1.6666567,0.00019999995,-9.219894,238.25146378003635,238.25146429495783,113.93846153846154
9000,1.7509437,0.00019999995,-2.5688808,-20194.90512688288,-20194.90505962067,216.8860759493671
10000,1.7470803,0.00019999995,-2.530787,209.4592550238931,209.45925326133852,97.81927710843374
11000,1.7472872,0.00019999992,-1.1636866,213.25341444324565,213.25341456646362,97.4074074074074
12000,1.7116448,0.0001999999,-9.478339,188.62964588785783,188.62964584484,80.38461538461539
13000,1.7149792,0.0001999999,-5.859125,-2725.852816386146,-2725.8528123280184,171.86868686868686
14000,1.7048389,0.0001999999,-7.130707,210.40931879440944,210.40931853359004,89.38666666666667
15000,1.6487648,0.0001999999,-35.705578,228.16611436230164,228.16611440366216,99.53703703703704
16000,1.6342721,0.0001999999,-56.29629,249.1404945690717,249.14049538008507,112.67857142857143
17000,1.7766314,0.0001999999,5.1574836,-37085.80045761029,-37085.800340988455,240.30232558139534
18000,1.7689792,0.0001999999,10.458194,215.92037363333648,215.9203723910541,98.76404494382022
19000,1.7527701,0.0001999999,10.040385,212.1292332938739,212.12923385391775,85.34285714285714
20000,1.728793,0.0001999999,9.879315,200.2213018457998,200.22130229321846,79.24545454545455
21000,1.6884736,0.0001999999,9.760825,209.90040837661786,209.90040827335707,114.78181818181818
22000,1.6701728,0.0001999999,10.264922,234.85479628443719,234.85479519465636,84.66
23000,1.5909019,0.0001999999,18.020695,198.9106817532767,198.91068206245362,68.65765765765765
24000,1.5736089,0.0001999999,23.600605,260.80151814293293,260.8015187164753,89.11904761904762
25000,1.6171749,0.0001999999,20.567837,3880.0555567438887,3880.055606084075,112.42105263157895
