Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.3716062,0.00019999995,24.199293,58.72235030002808,58.72234997536734,52.73033707865169
2000,1.2935414,0.00019999995,27.32703,62.879852657345516,62.87985255704184,56.35632183908046
3000,1.3987254,0.00019999995,24.284166,57.43865069922279,57.43865052335179,58.04705882352941
4000,1.363208,0.00019999995,25.700548,65.62131629671369,65.62131616904729,63.03896103896104
5000,1.362328,0.00019999995,26.688759,66.63753474806161,66.63753503102805,57.37647058823529
6000,1.3814634,0.00019999995,25.736023,76.742393506368,76.74239438313778,65.06666666666666
7000,1.4757242,0.00019999995,23.546383,71.34547178126589,71.34547153098178,62.22784810126582
8000,1.4357586,0.00019999995,26.92903,72.63626920718413,72.63626931752496,63.06410256410256
9000,1.4363241,0.00019999995,27.583542,64.55479811444695,64.55479804195092,59.74074074074074
10000,1.4291737,0.00019999995,28.172314,64.63763723820448,64.63763685887625,61.75
11000,1.446106,0.00019999992,26.372272,77.23770319240194,77.23770352480662,66.15492957746478
12000,1.4412043,0.0001999999,25.19163,65.16554588373796,65.16554553725702,61.34567901234568
13000,1.4107925,0.0001999999,26.202793,56.543469535550855,56.54346970135111,57.252873563218394
14000,1.4463031,0.0001999999,27.03817,75.98945889570942,75.98945879169173,65.6027397260274
15000,1.458354,0.0001999999,28.630146,82.1665536236763,82.16655385758892,66.08
16000,1.4692984,0.0001999999,25.672129,63.804701297021495,63.80470128118298,57.81707317073171
17000,1.4483284,0.0001999999,27.668438,57.654638814705386,57.65463896371754,61.4320987654321
18000,1.4893194,0.0001999999,24.357351,75.81077878781267,75.81077843907366,66.70270270270271
19000,1.4992545,0.0001999999,25.997082,77.29208378023223,77.29208420526457,64.05263157894737
20000,1.4697467,0.0001999999,27.806683,88.97555411515171,88.97555376518652,66.46575342465754
21000,1.4581149,0.0001999999,27.549364,78.53028547237317,78.53028520142892,64.84
22000,1.5237268,0.0001999999,26.291899,112.29554526078499,112.2955460117171,84.33898305084746
23000,1.5278329,0.0001999999,26.804045,102.77935410913874,102.77935438527338,79.75409836065573
24000,1.4738452,0.0001999999,28.133068,83.99875696897507,83.99875744236245,65.0
25000,1.5283647,0.0001999999,25.18126,78.0780240777251,78.07802518173771,61.675324675324674
26000,1.53902,0.0001999999,28.046007,107.49548343135349,107.49548357833316,74.05970149253731
27000,1.5615574,0.0001999999,26.936857,93.99854817764083,93.99854789095116,74.67164179104478
28000,1.5689045,0.0001999999,27.280857,120.7384856476866,120.73848481543095,80.25862068965517
29000,1.5385381,0.00019999988,29.489752,110.87599117140616,110.87598970221993,82.62903225806451
30000,1.5896008,0.00019999986,28.70987,130.0088316095727,130.008832082485,85.66071428571429
31000,1.5650998,0.00019999986,28.95093,86.48732487274253,86.48732504066594,66.95652173913044
32000,1.556434,0.00019999986,28.595936,106.04308553631344,106.0430849432827,79.66666666666667
33000,1.5295008,0.00019999986,29.309414,109.60771981999278,109.60771942000747,76.59375
34000,1.548523,0.00019999986,27.289982,110.03276411723346,110.03276484321964,79.1875
35000,1.5261949,0.00019999986,30.218758,125.48293914292988,125.48293878229053,84.0
36000,1.5809778,0.00019999986,29.034056,125.41763400106595,125.41763305085749,86.75862068965517
37000,1.6058403,0.00019999986,27.200424,94.92827529460192,94.92827598197628,67.5
38000,1.6225795,0.00019999986,28.981552,106.98220924080395,106.98220859969261,75.9672131147541
39000,1.6361533,0.00019999986,30.8499,91.29396563989145,91.29396491880242,94.79629629629629
40000,1.6394652,0.00019999986,31.253845,144.24896790621415,144.2489681563215,91.0
41000,1.5989971,0.00019999986,30.005367,114.76051805055502,114.76051844011023,75.96969696969697
42000,1.6143711,0.00019999986,30.24372,123.27860770055226,123.27860775421505,83.42857142857143
43000,1.6379476,0.00019999986,29.15299,152.13409254948297,152.13409129577244,95.64583333333333
44000,1.6332104,0.00019999983,30.255018,153.36753023553777,153.36752871695379,100.18518518518519
45000,1.6373188,0.00019999983,32.897926,141.6713122519163,141.67131338775374,92.63461538461539
46000,1.6385052,0.00019999983,33.022884,169.81596181281776,169.8159636701376,106.55813953488372
47000,1.63012,0.00019999983,33.845364,174.05296581029893,174.052966042154,105.14
48000,1.6322604,0.00019999983,30.49565,122.86348815181039,122.86348838342528,88.54545454545455
49000,1.6045991,0.00019999983,30.748661,120.0679729268199,120.06797245546333,77.26229508196721
50000,1.6067566,0.00019999983,30.916279,163.39999897713247,163.39999790697198,106.3695652173913
51000,1.61173,0.00019999983,31.200228,144.42356976408226,144.42356926339227,96.90384615384616
52000,1.6187115,0.00019999983,28.957777,151.27718827318637,151.2771877463538,101.91489361702128
53000,1.5966408,0.00019999975,31.190968,131.5765190589428,131.5765183769248,93.52
54000,1.5785918,0.00019999975,32.547783,136.28820068140826,136.28820010874963,87.81666666666666
