Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.7916936,0.00019999995,-0.41473985,4.805488866918227,4.805488937482551,94.8529411764706
2000,1.7916764,0.00019999995,-0.4267953,5.614925441287813,5.614925382370573,99.33333333333333
3000,1.7916702,0.00019999995,-0.40798366,5.787768003013399,5.787768136606449,105.72222222222223
4000,1.7916638,0.00019999995,-0.40708226,6.528147836526235,6.528147930589815,115.66666666666667
5000,1.7916341,0.00019999995,-0.405961,3.0067617863416674,3.0067618135362864,62.6
6000,1.7915264,0.00019999995,-0.36507127,4.561802485159466,4.561802484893373,89.14285714285714
7000,1.7911452,0.00019999995,-0.20809327,4.1892630078575825,4.189262932674452,85.54545454545455
8000,1.7911843,0.00019999995,-0.2162477,6.765783578157425,6.765783501788974,112.5
9000,1.7910317,0.00019999995,-0.21613339,4.429585745701423,4.429585697845771,85.6923076923077
10000,1.7911745,0.00019999995,-0.18843001,4.948000550270081,4.948000546777621,90.0
11000,1.7914991,0.00019999992,-0.23354618,10.311232030391693,10.311231721192598,156.0
12000,1.7913206,0.0001999999,-0.17393328,3.6627156883478165,3.662715831073001,90.0
13000,1.7911793,0.0001999999,-0.14496979,2.589677454593281,2.5896774807091183,82.41666666666667
14000,1.7912732,0.0001999999,-0.17956364,1.6632579977695758,1.6632578808527727,58.92307692307692
15000,1.7912594,0.0001999999,-0.21332411,3.982285364107652,3.9822854388674553,93.45454545454545
16000,1.7910757,0.0001999999,-0.19233447,3.899223156273365,3.8992231572046876,85.875
17000,1.7908785,0.0001999999,-0.14981222,2.277574885798537,2.277574960142374,72.43478260869566
18000,1.790788,0.0001999999,-0.0016949996,4.459235064008019,4.459234980696982,85.0909090909091
19000,1.7903026,0.0001999999,0.0043247016,7.364041291750395,7.364041270401615,130.53846153846155
20000,1.7906594,0.0001999999,-0.01915719,4.990002977848053,4.9900029947981235,94.8
21000,1.7908843,0.0001999999,-0.05290789,2.8290105561415353,2.829010492966821,60.833333333333336
22000,1.7914317,0.0001999999,None,None,None,None
23000,1.7912675,0.0001999999,-0.0048120073,7.117268323898315,7.117268107831478,146.0
24000,1.7911363,0.0001999999,0.015163809,4.1818160772323605,4.181816114857793,84.6
25000,1.79049,0.0001999999,-0.028085135,3.4118233049909272,3.41182334208861,101.0
26000,1.7905793,0.0001999999,-0.03957018,2.535098224878311,2.535098221308241,66.25
27000,1.7906346,0.0001999999,0.0042507946,4.889699031006206,4.889699046076699,89.63636363636364
28000,1.7903264,0.0001999999,0.0073358156,3.903168002764384,3.903167909707008,77.08333333333333
29000,1.790409,0.00019999988,-0.019194968,5.617422763790403,5.617422836433564,94.78571428571429
30000,1.7886091,0.00019999986,0.16887833,7.684704277250502,7.684704206883907,127.77777777777777
31000,1.7862211,0.00019999986,0.15535852,4.694467186927795,4.694467160052487,106.07142857142857
32000,1.7836603,0.00019999986,0.1318572,6.854189240163373,6.854189262274773,121.35483870967742
33000,1.7821113,0.00019999986,0.2360405,6.6702266994275545,6.670226651734035,115.63157894736842
34000,1.7790681,0.00019999986,0.2551111,4.984783661208655,4.984783635879132,100.60526315789474
35000,1.781148,0.00019999986,0.3670675,5.32993998626868,5.329939963063225,97.04166666666667
36000,1.781871,0.00019999986,0.28653452,5.713671873013179,5.713671957207697,117.81481481481481
37000,1.7840956,0.00019999986,0.42427352,5.888698220252991,5.888698188229823,102.38461538461539
38000,1.781446,0.00019999986,0.39293692,5.3079607997621805,5.307960837314438,139.14285714285714
39000,1.7824676,0.00019999986,0.51211107,8.023143498734994,8.02314342871647,151.3181818181818
40000,1.7800642,0.00019999986,0.36631763,6.975042287260294,6.975042206759099,144.5
41000,1.780112,0.00019999986,0.5177631,6.71541228101534,6.7154121702153455,150.8235294117647
42000,1.7725718,0.00019999986,0.35400793,6.174244924315384,6.174245022170778,190.57142857142858
43000,1.7686735,0.00019999986,0.41039652,6.069972129124734,6.069972191161166,209.05555555555554
44000,1.7535404,0.00019999983,0.7420676,7.742039010501825,7.742038926038031,209.8846153846154
45000,1.7467647,0.00019999983,0.80313337,8.316557083598205,8.316557058258539,197.22857142857143
46000,1.7473576,0.00019999983,0.9868989,11.731002285292274,11.731002163534102,274.63157894736844
47000,1.7411718,0.00019999983,1.2054939,21.06726817109368,21.067268312125552,545.6363636363636
48000,1.723155,0.00019999983,1.2596313,23.041197329759598,23.041197360865773,571.8
49000,1.7267109,0.00019999983,1.6179346,17.195753255238134,17.195753271321035,371.9583333333333
50000,1.7181236,0.00019999983,1.7302357,21.689614246599376,21.68961443565786,541.0833333333334
51000,1.7064809,0.00019999983,1.970259,35.93301480091535,35.933014813958344,637.5384615384615
52000,1.6925122,0.00019999983,1.946431,32.09476949410005,32.094769931440666,566.6363636363636
53000,1.7063493,0.00019999975,2.1395745,18.21182419359684,18.21182413354871,399.76190476190476
54000,1.6999124,0.00019999975,2.2840006,28.45595299700896,28.455952920330066,548.5833333333334
55000,1.6473162,0.00019999975,2.2942724,22.434763058606123,22.434763020370156,435.3888888888889
56000,1.6264373,0.00019999972,2.756616,37.5990464064208,37.5990461776541,642.2727272727273
57000,1.6513057,0.00019999972,2.8196557,19.16385554599351,19.163855523556965,285.7241379310345
58000,1.6295437,0.00019999972,2.7295868,27.493888159210865,27.49388844383737,484.9230769230769
59000,1.6084526,0.00019999972,2.623863,29.545109232266743,29.545109066956986,478.6666666666667
60000,1.6104741,0.00019999972,2.9608827,24.63440879434347,24.634409038893256,435.55555555555554
61000,1.5922017,0.00019999972,3.1654897,20.421690282913353,20.421690303420363,344.7692307692308
62000,1.5492219,0.00019999972,2.9471583,29.79034599891076,29.790346194256788,430.53846153846155
63000,1.4778862,0.00019999972,3.2132933,29.717194754630327,29.717194894794375,574.25
64000,1.5563402,0.00019999972,3.3562083,21.938967524894647,21.938967073697963,381.85714285714283
65000,1.5666785,0.00019999972,3.5554898,23.512644879196,23.512645009631775,390.0
66000,1.5894879,0.00019999972,4.007685,31.140063138569104,31.140063101244294,472.88235294117646
67000,1.5631716,0.00019999972,3.9579935,30.94114886088805,30.94114895222116,445.95454545454544
68000,1.531687,0.00019999969,3.9556453,24.48243066743016,24.48243066894356,348.1
69000,1.5437541,0.00019999967,4.445097,20.19197048033987,20.19197052692817,279.04761904761904
70000,1.5867014,0.00019999967,4.2477074,35.23880694061518,35.23880706244017,531.6875
71000,1.5902663,0.00019999967,4.3256164,33.88876559585333,33.88876550000714,493.75
72000,1.5695311,0.00019999967,4.348543,43.29272629227489,43.292726324434625,623.625
73000,1.5521587,0.00019999967,4.9446692,22.41710395730016,22.417104031932965,327.6363636363636
74000,1.5543692,0.00019999967,5.052183,35.88963173143566,35.88963190535287,493.4375
75000,1.5472676,0.00019999967,5.3523355,41.690371906757356,41.69037204987059,552.0666666666667
76000,1.594041,0.00019999967,5.826197,58.12136008522727,58.12136016455902,709.9090909090909
77000,1.6078261,0.00019999967,5.78532,25.725517162336754,25.725517283068395,343.2692307692308
78000,1.6015012,0.00019999967,5.7602806,44.08204098484095,44.08204098615576,548.1764705882352
79000,1.6235155,0.00019999967,5.6935906,36.39677745569497,36.396777293557534,514.6875
80000,1.6310618,0.00019999967,6.0080996,41.92089155316353,41.92089186079408,548.6842105263158
81000,1.5591576,0.00019999967,6.2609515,30.57955202460289,30.579551947396247,404.8
82000,1.6414727,0.00019999967,6.524615,45.15051671011107,45.150516984452096,589.2857142857143
83000,1.6395695,0.00019999966,6.4468956,40.47298155812656,40.47298114965944,509.05882352941177
84000,1.6452835,0.00019999966,6.5463815,44.17994492314756,44.179944882169366,558.375
85000,1.6157613,0.00019999966,6.1685,26.52013427301033,26.52013418571772,333.6756756756757
86000,1.6223179,0.00019999965,6.535127,38.631246722406814,38.63124670422015,478.05555555555554
87000,1.6299913,0.00019999965,6.4299064,40.17439891397953,40.174398706294596,536.375
88000,1.6326399,0.00019999965,6.584053,41.30612834762125,41.306128122022045,533.0
89000,1.6152109,0.00019999965,6.1939473,27.367908956607184,27.367908898182215,356.5
90000,1.6255807,0.00019999965,6.3042493,34.78248200921909,34.78248189199392,476.7826086956522
91000,1.6314262,0.00019999965,6.806602,41.780914612611134,41.780914383629955,532.1333333333333
92000,1.6419501,0.00019999965,6.9014893,47.96865661327656,47.96865682074657,610.8461538461538
93000,1.6326482,0.00019999965,6.79647,28.40602364253115,28.40602352925473,364.1111111111111
94000,1.616507,0.00019999965,6.5712028,40.464008218862794,40.46400837515566,507.59090909090907
95000,1.5955003,0.00019999965,6.730212,44.79446188939942,44.794461891882946,560.0555555555555
96000,1.5535383,0.00019999965,6.6330514,40.320632454226995,40.32063224128283,496.1764705882353
97000,1.5469636,0.00019999965,6.6749573,25.724687384634183,25.724687328658483,322.41379310344826
98000,1.5606072,0.00019999965,6.590549,40.663656398653984,40.66365628368739,509.55555555555554
99000,1.585404,0.00019999965,6.8757734,54.94453656276067,54.94453624859288,684.8
100000,1.5996305,0.00019999963,6.8643165,45.79286668300629,45.79286693334579,573.3333333333334
101000,1.603967,0.0001999996,6.768297,27.89312037106218,27.893120526882083,352.3103448275862
102000,1.6161203,0.0001999996,6.6785955,47.076821331466945,47.07682143763772,588.4285714285714
103000,1.60232,0.0001999996,6.706721,46.745526902815875,46.74552695168292,601.8235294117648
104000,1.6015984,0.0001999996,6.6946507,53.910685914754865,53.91068610846996,704.8
105000,1.5996033,0.0001999996,6.7973657,27.778810506281644,27.77881038853008,371.4347826086956
106000,1.6072433,0.0001999996,6.730454,52.61648407578468,52.61648425486471,708.0
107000,1.600901,0.0001999996,6.6118464,54.991105033801155,54.99110492834678,736.5384615384615
108000,1.5739659,0.0001999996,6.5482492,45.64318339614307,45.6431831539992,598.0588235294117
109000,1.5634836,0.0001999996,6.4688053,27.264230826248724,27.264230876229703,349.6666666666667
110000,1.5495021,0.0001999996,6.4215584,43.728734420405495,43.72873464578556,553.3333333333334
111000,1.5317127,0.0001999996,6.4633102,40.27575285094125,40.275752883936676,498.6666666666667
112000,1.5274981,0.0001999996,6.507488,40.590239922205605,40.59024007556339,502.27777777777777
113000,1.4940842,0.00019999957,6.598643,29.1346314130006,29.1346313542238,350.77777777777777
114000,1.459622,0.00019999957,6.498122,38.362176176160574,38.36217626975849,449.7916666666667
115000,1.4686447,0.00019999954,6.7303443,46.645594035585724,46.645593962321676,540.1111111111111
116000,1.4228616,0.00019999949,6.7052093,34.318532003462316,34.31853172667324,397.45
117000,1.3920556,0.00019999949,6.635143,27.621737459392257,27.62173744471687,317.8787878787879
118000,1.3983799,0.00019999949,6.820123,40.90362607491644,40.903626248044404,470.6842105263158
119000,1.400621,0.00019999949,6.7006927,39.4858423688195,39.48584233071994,454.1363636363636
120000,1.3776248,0.00019999949,6.5333834,37.20910087227821,37.20910094833622,428.7083333333333
121000,1.3533411,0.00019999949,6.8986926,27.7891767426179,27.78917665521686,317.03846153846155
122000,1.3381677,0.00019999949,6.9329085,38.89769226596469,38.89769226702906,445.5238095238095
123000,1.3217719,0.00019999949,7.039641,31.65785666153981,31.657856653229548,363.34615384615387
